ticker,source,source_message_id,timestamp,raw_text,sentiment_score,label,scored_by
TSLA,stocktwits,658797803,2026-07-10T19:53:28Z,$TSLA https://x.com/Tesla_Megapack/status/2075653285227462795?s=20,1.0,bullish,stocktwits_label
TSLA,stocktwits,658797797,2026-07-10T19:53:24Z,$TSLA timber!!,,,
TSLA,stocktwits,658797607,2026-07-10T19:51:29Z,$TSLA flush into close?,,,
TSLA,stocktwits,658797533,2026-07-10T19:50:41Z,$TSLA absolutely pinned. What a fucking piss take,,,
TSLA,stocktwits,658797372,2026-07-10T19:49:13Z,$TSLA squeeze last 10 minutes,,,
TSLA,stocktwits,658797300,2026-07-10T19:48:30Z,"$TSLA walking ENTA da weekend early ENTA 🐒🍌🧠⏰♾️.    Maybe once it’s got Docs pump blessing?  Da 👑 is bahhhck. N in 2 weeks.  Da 🦄👑

❤️👑🌈🦄",1.0,bullish,stocktwits_label
TSLA,stocktwits,658797037,2026-07-10T19:46:09Z,$TSLA 🥂,,,
TSLA,stocktwits,658796874,2026-07-10T19:44:40Z,"$CRCL $INTC $NVDA $TSLA 

 A day, two, or three late. Always seems  a lot easier speaking on terms retrospectively.",,,
TSLA,stocktwits,658796866,2026-07-10T19:44:36Z,$TSLA has work to do,,,
TSLA,stocktwits,658796839,2026-07-10T19:44:21Z,"$TSLA is ripping up the old playbook again.   
The kind of creative destruction that can break the best-built assumptions in autos.   
Feels like Tesla is clearing space for something much bigger, and the market still hasn’t fully priced it in.",,,
TSLA,stocktwits,658796801,2026-07-10T19:43:58Z,"$NVDA $TSLA $QQQ $MU $SPY 

so if anyone tells u anything in stock market is 100% guaranteed aka &quot;mark this post&quot;  , &quot;trust me bro&quot;, 
u know they born yesterday and don&#39;t know sht, cubie teaches",,,
TSLA,stocktwits,658796705,2026-07-10T19:43:08Z,$TSLA $415 calls 7-15 premium $5.20 🙌🏽💎,1.0,bullish,stocktwits_label
TSLA,stocktwits,658796534,2026-07-10T19:41:23Z,$TSLA Getting ready to fall off a cliff,-1.0,bearish,stocktwits_label
TSLA,stocktwits,658796503,2026-07-10T19:41:06Z,$TSLA sea of red awaits this one come Monday morning,-1.0,bearish,stocktwits_label
TSLA,stocktwits,658796294,2026-07-10T19:39:17Z,$TSLA  vote for socialism 2028 vote Democrat. Tax? to Rich feed the poor.  We shouldn’t have to pay to live in this earth. Money is little pieces of paper. That’s all it is with pictures of faces on it and people are killing for it.?   vote Democrat 2028 vote for socialism,,,
TSLA,stocktwits,658796101,2026-07-10T19:37:28Z,"I’m focused on finding elite growth names and the right moments to enter.  
 
These are the levels I’m watching closely: 
 
$INTC → $105 Must buy 
$TSLA → $398 Must buy 
$CRCL → $60 Must buy 
$NVDA → $195 Must buy  
 
The best opportunities usually come from patience, preparation, and waiting for the right setup. 
 
The next list is coming soon! Are you going to miss it again?",,,
TSLA,stocktwits,658795904,2026-07-10T19:35:27Z,"$TSLA shoutout to the market makers that made sure this traded flat and fucked over both sides, calls and puts they made money selling useless 0day to everyone today hooray!!!",,,
TSLA,stocktwits,658795765,2026-07-10T19:34:03Z,$TSLA max pain 😂hahah,1.0,bullish,stocktwits_label
TSLA,stocktwits,658795682,2026-07-10T19:33:15Z,$TSLA calls are down and puts are down again the market makers win,,,
TSLA,stocktwits,658795583,2026-07-10T19:32:13Z,"$TSLA this is it, let’s go to max pain now.",-1.0,bearish,stocktwits_label
TSLA,stocktwits,658795503,2026-07-10T19:31:30Z,"$JLHL 🤫🔺 I can&#39;t lose... But you still can.. follow protocol or meet your destiny 🔺 
The FiB 🔺 
$TSLA
$SPY
$BTC.X
$DJT",1.0,bullish,stocktwits_label
TSLA,stocktwits,658795320,2026-07-10T19:29:47Z,"Stocks to Watch in July: 
 
A focused list of names I’m monitoring for potential breakouts, strong momentum, and upcoming opportunities this month. 
 
$NVDA - 203 → 300 
$AMD - 167 → 240 
$PLTR - 133 → 180 
$TSLA - 415 → 550 
$HIMS - 33 → 50 
 
Don’t chase extended moves, wait for levels where risk/reward resets. Rotation, not conviction chasing, is driving this tape. 
 
Next alert is coming soon. 
 
If you’re not following with notifications on, you’re likely seeing the move after it already happened.",,,
TSLA,stocktwits,658795285,2026-07-10T19:29:31Z,$TSLA Drop to $404 for close. Open Monday at $415. I hope everyone has a great weekend:),,,
TSLA,stocktwits,658795214,2026-07-10T19:28:54Z,$TSLA crooks making everyything worthless,,,
